x,y,z
1,1.47314e-07,0.001
0.999999,6.48181e-07,0.002
0.999998,1.5026e-06,0.003
0.999997,2.71056e-06,0.00399999
0.999996,4.27207e-06,0.00499999
0.999994,6.18711e-06,0.00599998
0.999992,8.45567e-06,0.00699996
0.999989,1.10778e-05,0.00799994
0.999986,1.40533e-05,0.00899992
0.999983,1.73824e-05,0.00999989
0.999979,2.1065e-05,0.0109999
0.999975,2.5101e-05,0.0119998
0.999971,2.94904e-05,0.0129998
0.999966,3.42333e-05,0.0139997
0.999961,3.93295e-05,0.0149996
0.999955,4.47792e-05,0.0159995
0.999949,5.05822e-05,0.0169994
0.999943,5.67385e-05,0.0179993
0.999937,6.32481e-05,0.0189992
0.99993,7.01109e-05,0.0199991
0.999923,7.73271e-05,0.0209989
0.999915,8.48964e-05,0.0219988
0.999907,9.28188e-05,0.0229986
0.999899,0.000101094,0.0239984
0.99989,0.000109723,0.0249982
0.999881,0.000118705,0.025998
0.999872,0.00012804,0.0269977
0.999862,0.000137727,0.0279975
0.999852,0.000147768,0.0289972
0.999842,0.000158162,0.0299969
0.999831,0.000168908,0.0309965
0.99982,0.000180007,0.0319962
0.999809,0.000191459,0.0329958
0.999797,0.000203263,0.0339954
0.999785,0.000215421,0.034995
0.999772,0.00022793,0.0359946
0.999759,0.000240793,0.0369941
0.999746,0.000254007,0.0379936
0.999732,0.000267575,0.0389931
0.999719,0.000281494,0.0399926
0.999704,0.000295766,0.040992
0.99969,0.00031039,0.0419914
0.999675,0.000325366,0.0429908
0.999659,0.000340694,0.0439901
0.999644,0.000356374,0.0449894
0.999628,0.000372406,0.0459887
0.999611,0.00038879,0.0469879
0.999594,0.000405526,0.0479871
0.999577,0.000422613,0.0489863
0.99956,0.000440052,0.0499854
0.999542,0.000457843,0.0509845
0.999524,0.000475985,0.0519836
0.999506,0.000494478,0.0529827
0.999487,0.000513323,0.0539817
0.999467,0.000532519,0.0549806
0.999448,0.000552066,0.0559795
0.999428,0.000571964,0.0569784
0.999408,0.000592213,0.0579773
0.999387,0.000612813,0.0589761
0.999366,0.000633763,0.0599748
0.999345,0.000655065,0.0609735
0.999323,0.000676717,0.0619722
0.999301,0.000698719,0.0629708
0.999279,0.000721072,0.0639694
0.999256,0.000743775,0.064968
0.999233,0.000766828,0.0659665
0.99921,0.000790231,0.0669649
0.999186,0.000813985,0.0679633
0.999162,0.000838088,0.0689617
0.999137,0.00086254,0.06996
0.999113,0.000887343,0.0709583
0.999088,0.000912495,0.0719565
0.999062,0.000937996,0.0729546
0.999036,0.000963847,0.0739527
0.99901,0.000990047,0.0749508
0.998983,0.0010166,0.0759488
0.998957,0.00104349,0.0769467
0.998929,0.00107074,0.0779446
0.998902,0.00109834,0.0789425
0.998874,0.00112628,0.0799403
0.998845,0.00115457,0.080938
0.998817,0.00118321,0.0819357
0.998788,0.0012122,0.0829333
0.998758,0.00124154,0.0839309
0.998729,0.00127122,0.0849284
0.998699,0.00130126,0.0859258
0.998668,0.00133164,0.0869232
0.998638,0.00136236,0.0879205
0.998607,0.00139344,0.0889178
0.998575,0.00142486,0.089915
0.998543,0.00145663,0.0909121
0.998511,0.00148875,0.0919092
0.998479,0.00152121,0.0929062
0.998446,0.00155402,0.0939032
0.998413,0.00158718,0.0949
0.998379,0.00162068,0.0958969
0.998345,0.00165453,0.0968936
0.998311,0.00168872,0.0978903
0.998277,0.00172326,0.0988869
0.998242,0.00175815,0.0998835
0.998207,0.00179338,0.10088
0.998171,0.00182896,0.101876
0.998135,0.00186488,0.102873
0.998099,0.00190115,0.103869
0.998062,0.00193777,0.104865
0.998025,0.00197472,0.105861
0.997988,0.00201203,0.106857
0.99795,0.00204967,0.107853
0.997912,0.00208767,0.108849
0.997874,0.002126,0.109845
0.997835,0.00216468,0.110841
0.997796,0.0022037,0.111836
0.997757,0.00224307,0.112832
0.997717,0.00228278,0.113828
0.997677,0.00232284,0.114823
0.997637,0.00236323,0.115818
0.997596,0.00240397,0.116814
0.997555,0.00244506,0.117809
0.997514,0.00248648,0.118804
0.997472,0.00252825,0.119799
0.99743,0.00257036,0.120794
0.997387,0.00261281,0.121789
0.997344,0.0026556,0.122784
0.997301,0.00269874,0.123778
0.997258,0.00274221,0.124773
0.997214,0.00278603,0.125767
0.99717,0.00283019,0.126762
0.997125,0.00287469,0.127756
0.99708,0.00291953,0.128751
0.997035,0.00296471,0.129745
0.99699,0.00301023,0.130739
0.996944,0.0030561,0.131733
0.996898,0.0031023,0.132727
0.996851,0.00314884,0.133721
0.996804,0.00319572,0.134714
0.996757,0.00324294,0.135708
0.99671,0.0032905,0.136702
0.996662,0.00333839,0.137695
0.996613,0.00338663,0.138688
0.996565,0.00343521,0.139682
0.996516,0.00348412,0.140675
0.996467,0.00353337,0.141668
0.996417,0.00358296,0.142661
0.996367,0.00363288,0.143654
0.996317,0.00368315,0.144647
0.996266,0.00373375,0.145639
0.996215,0.00378469,0.146632
0.996164,0.00383596,0.147624
0.996112,0.00388757,0.148617
0.99606,0.00393952,0.149609
0.996008,0.0039918,0.150601
0.995956,0.00404442,0.151593
0.995903,0.00409738,0.152585
0.995849,0.00415067,0.153577
0.995796,0.00420429,0.154569
0.995742,0.00425825,0.155561
0.995687,0.00431255,0.156552
0.995633,0.00436718,0.157544
0.995578,0.00442214,0.158535
0.995523,0.00447744,0.159526
0.995467,0.00453307,0.160517
0.995411,0.00458903,0.161508
0.995355,0.00464533,0.162499
0.995298,0.00470196,0.16349
0.995241,0.00475893,0.164481
0.995184,0.00481622,0.165471
0.995126,0.00487385,0.166462
0.995068,0.00493181,0.167452
0.99501,0.0049901,0.168443
0.994951,0.00504873,0.169433
0.994892,0.00510768,0.170423
0.994833,0.00516697,0.171413
0.994773,0.00522659,0.172403
0.994713,0.00528653,0.173392
